State,District,Latitude,Longitude,District code,State name,District name,Male,Female,Population,Literate,Male_Literate,Female_Literate,Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,No. of females per 1000 males,Literacy_ratio
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,ARUNACHAL PRADESH,Upper Subansiri,41758,41690,83448,45278,24807,20471,33370,1846,481,13474,521,8779,28,297,11,64790,28364,56054,20055,7230,998.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,ARUNACHAL PRADESH,West Kameng,46155,37792,83947,48492,29566,18926,42493,1705,801,31265,1970,8466,328,36087,71,40193,25606,53026,22362,8493,819.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,ARUNACHAL PRADESH,West Siang,58168,54106,112274,64746,36777,27969,49177,1384,298,15881,2218,29969,577,3311,49,74220,27956,70415,28305,13469,930.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,ASSAM,Barpeta,867004,826618,1693622,897058,499038,398020,561824,98946,30342,492966,1198036,1020,112,49,399,1083591,664161,1072312,405046,215355,953.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,ASSAM,Bongaigaon,375818,362986,738804,434078,237114,196964,255806,47406,9485,359145,371033,5924,384,236,871,479431,260721,458796,184849,94939,966.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,ASSAM,Cachar,886284,850333,1736617,1174128,639946,534182,608062,68664,24466,1038985,654816,37635,280,341,1673,1378531,357907,1048990,444899,241776,959.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,ASSAM,Darrang,475273,453227,928500,487039,268666,218373,324843,81617,10542,327322,597392,1688,431,57,724,575240,375556,583436,226525,118102,954.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,ASSAM,Dhemaji,351249,334884,686133,423028,237761,185267,316800,19181,7224,655052,13475,8711,297,911,167,521393,194984,434221,169630,82051,953.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,ASSAM,Dibrugarh,676434,649901,1326335,884531,491361,393170,560557,61209,14362,1198401,64526,52968,2261,4673,1055,983760,340744,767147,371864,186774,961.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,ASSAM,Goalpara,513292,494891,1008183,563577,304302,259275,362573,75828,14346,347878,579929,77862,771,194,477,657440,375071,650509,239831,117427,964.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,ASSAM,Golaghat,543161,523727,1066888,721764,396475,325289,479928,66616,15068,917426,90312,50582,1131,3863,530,820800,258897,629153,289085,148244,964.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,ASSAM,Hailakandi,337890,321406,659296,407366,226836,180530,214240,31248,7313,251194,397653,8480,84,490,247,500042,173306,419921,156243,82841,951.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,ASSAM,Jorhat,556805,535451,1092256,794929,432335,362594,498618,53153,31543,1008219,54684,21051,1540,2378,719,892694,209170,604908,315550,171062,962.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,ASSAM,Kamrup,778461,739081,1517542,995319,550219,445100,628954,99522,69106,877495,601784,33297,319,185,1330,1142942,392678,895775,408232,212740,949.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,ASSAM,Karbi Anglong,490167,466146,956313,557214,314253,242961,383441,60952,9861,766000,20290,157789,370,6260,397,676227,310093,618633,233739,103123,951.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,ASSAM,Karimganj,625864,602822,1228686,795297,435942,359355,399171,67033,17435,521962,692489,11990,114,446,524,935508,303785,779850,284368,163990,963.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,ASSAM,Kokrajhar,452905,434237,887142,489305,275220,214085,341131,56330,12423,529068,252271,101091,93,1718,396,576006,340601,552671,224715,108956,959.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,ASSAM,Lakhimpur,529674,512463,1042137,683486,375552,307934,429995,43922,10983,797130,193476,46217,412,1074,250,795681,275677,639385,268872,133615,968.0,66.0
